,success_probability,predicted_successful,confidence,key_factors,player
148,0.5245302159364883,True,Low,"{'positive_factors': ['cluster'], 'negative_factors': ['before_WS/40', 'before_USG%', 'before_OWS', 'before_G_x']}",dj-jefferson-1
149,0.7869778079767974,True,Medium,"{'positive_factors': [], 'negative_factors': ['before_WS/40', 'cluster', 'before_USG%', 'before_OWS', 'before_G_x']}",keeyan-itejere-1
150,0.7037690777794136,True,Medium,"{'positive_factors': ['cluster', 'sos_change'], 'negative_factors': ['before_WS/40', 'before_USG%', 'before_OWS']}",langston-reynolds-1
151,0.744279312332624,True,Medium,"{'positive_factors': ['cluster'], 'negative_factors': ['before_WS/40', 'before_USG%', 'before_OWS', 'before_G_x']}",al-green-1
152,0.5357459644502426,True,Low,"{'positive_factors': ['cluster', 'sos_change'], 'negative_factors': ['before_WS/40', 'before_USG%', 'before_OWS']}",elijah-strong-1
153,0.5951687246610463,True,Low,"{'positive_factors': ['cluster', 'sos_change'], 'negative_factors': ['before_WS/40', 'before_USG%', 'before_OWS']}",carson-towt-1
154,0.7509756420885723,True,Medium,"{'positive_factors': ['cluster', 'sos_change'], 'negative_factors': ['before_WS/40', 'before_USG%', 'before_OWS']}",donovan-atwell-1
155,0.7705218542435194,True,Medium,"{'positive_factors': ['cluster', 'sos_change'], 'negative_factors': ['before_WS/40', 'before_USG%', 'before_OWS']}",john-camden-1
156,0.702250091368539,True,Medium,"{'positive_factors': ['cluster'], 'negative_factors': ['before_WS/40', 'before_USG%', 'before_OWS', 'before_G_x']}",bryson-cokley-1
157,0.5749014242928315,True,Low,"{'positive_factors': ['cluster', 'sos_change'], 'negative_factors': ['before_WS/40', 'before_USG%', 'before_OWS']}",juslin-bodo-bodo-1
158,0.507362698742554,True,Low,"{'positive_factors': ['cluster', 'sos_change'], 'negative_factors': ['before_WS/40', 'before_USG%', 'before_OWS']}",jalen-haynes-1
159,0.5042817280248186,True,Low,"{'positive_factors': ['cluster', 'sos_change'], 'negative_factors': ['before_WS/40', 'before_USG%', 'before_OWS']}",james-okonkwo-1
160,0.5734805370035382,True,Low,"{'positive_factors': ['cluster'], 'negative_factors': ['before_WS/40', 'before_USG%', 'before_OWS', 'before_G_x']}",gabriel-pozzato-1
161,0.48890517000343087,False,Low,"{'positive_factors': ['cluster'], 'negative_factors': ['before_WS/40', 'before_USG%', 'before_OWS', 'before_G_x']}",boden-kapke-1
162,0.7320139213932009,True,Medium,"{'positive_factors': ['cluster', 'sos_change'], 'negative_factors': ['before_WS/40', 'before_USG%', 'before_OWS']}",tj-simpkins-1
163,0.7211418202294833,True,Medium,"{'positive_factors': ['sos_change', 'cluster'], 'negative_factors': ['before_WS/40', 'before_USG%', 'before_OWS']}",jacari-lane-1
164,0.768905393925682,True,Medium,"{'positive_factors': ['cluster'], 'negative_factors': ['before_WS/40', 'before_USG%', 'before_OWS', 'before_G_x']}",jordan-burks-1
165,0.6693252989285263,True,Medium,"{'positive_factors': ['sos_change', 'cluster'], 'negative_factors': ['before_WS/40', 'before_USG%', 'before_OWS']}",max-green-1
166,0.7094855715149007,True,Medium,"{'positive_factors': ['cluster', 'sos_change'], 'negative_factors': ['before_WS/40', 'before_USG%', 'before_OWS']}",malik-moore-3
