Season,Team,Conf_x,Class_x,Pos_x,G_x,GS_x,MP_x,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards_x,Conf_y,Class_y,Pos_y,G_y,GS_y,MP_y,PER,TS%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,Awards_y,player_id,cluster
2024-25,Alabama,SEC,SO,F,37,0,16.0,2.7,4.4,0.617,0.3,0.7,0.462,2.4,3.7,0.647,0.654,1.5,2.5,0.609,1.9,4.0,5.9,1.1,0.9,0.7,1.1,2.4,7.2,Unknown,SEC,SO,F,37,0,591,24.2,0.651,0.16,0.568,278,13.0,23.9,18.8,11.8,3.1,3.8,16.3,18.9,1.8,1.2,3.0,0.203,5.6,5.5,11.1,Unknown,mouhamed-dioubate-1,3
2024-25,Arizona State,Big 12,FR,F,24,24,29.5,3.9,7.4,0.525,0.3,1.3,0.188,3.6,6.0,0.6,0.542,1.4,3.0,0.479,3.0,4.9,7.9,1.5,1.1,2.6,1.9,2.6,9.4,Unknown,Big 12,FR,F,24,24,709,18.6,0.536,0.181,0.401,250,11.8,18.4,15.2,10.6,2.2,9.8,17.9,18.4,0.7,1.2,1.9,0.107,1.7,4.9,6.5,Unknown,jayden-quaintance-1,3
2024-25,Pittsburgh,ACC,SO,G,31,31,35.4,5.4,14.3,0.376,1.3,5.0,0.266,4.0,9.3,0.434,0.422,4.7,5.4,0.886,0.9,3.3,4.2,5.5,1.8,0.2,3.0,2.2,16.8,Unknown,ACC,SO,G,31,31,1098,18.3,0.499,0.348,0.376,568,2.9,11.1,7.0,31.1,3.0,0.8,15.0,29.1,1.8,1.4,3.2,0.117,2.6,1.2,3.8,Unknown,jaland-lowe-2,2
2024-25,Tulane,AAC,FR,G,33,28,32.4,3.4,7.0,0.485,1.9,4.6,0.412,1.5,2.4,0.628,0.621,0.6,0.8,0.76,0.7,3.8,4.5,1.3,1.4,1.1,0.8,1.6,9.3,Unknown,AAC,FR,G,33,28,1068,15.2,0.63,0.662,0.108,270,2.6,12.8,7.9,7.7,2.5,3.9,10.3,13.1,1.7,1.7,3.3,0.125,1.6,1.7,3.3,Unknown,kam-williams-2,2
2024-25,Florida,SEC,JR,G,39,5,19.8,2.7,6.6,0.418,0.9,2.6,0.35,1.8,3.9,0.464,0.488,1.3,1.8,0.708,0.3,1.4,1.7,1.4,0.5,0.0,1.0,1.5,7.7,Unknown,SEC,JR,G,39,5,773,11.6,0.519,0.402,0.281,282,1.7,7.3,4.7,11.9,1.3,0.0,11.8,20.2,1.2,1.0,2.2,0.113,0.9,2.1,3.0,Unknown,denzel-aberdeen-1,4
2024-25,South Carolina,SEC,SR,F,32.0,32.0,24.6,3.2,5.6,0.572,0.0,0.1,0.0,3.2,5.5,0.582,0.572,3.0,4.6,0.655,1.9,4.4,6.3,1.1,0.5,0.4,1.4,2.7,9.5,Unknown,SEC,SR,F,32.0,32.0,786.0,18.1,0.605,0.017,0.822,299.0,9.3,21.6,15.5,10.3,1.2,1.9,15.5,19.5,1.7,1.0,2.7,0.137,1.8,2.3,4.1,Unknown,nick-pringle-1,3
2024-25,Florida State,ACC,SO,F,30.0,30.0,26.2,5.8,9.7,0.596,0.0,0.0,0.0,5.8,9.7,0.598,0.596,2.6,4.0,0.653,3.1,4.6,7.6,1.7,0.9,0.8,1.9,2.9,14.2,Unknown,ACC,SO,F,30.0,30.0,785.0,25.6,0.611,0.003,0.414,423.0,13.7,19.6,16.7,15.5,1.9,3.6,14.2,25.9,2.4,1.3,3.7,0.19,4.7,1.8,6.5,Unknown,malique-ewin-1,3
2024-25,North Carolina,ACC,JR,F,31.0,0.0,7.9,0.9,2.3,0.403,0.5,1.5,0.292,0.5,0.8,0.625,0.5,0.3,0.5,0.563,0.3,0.8,1.1,0.1,0.2,0.0,0.1,1.0,2.6,Unknown,ACC,JR,F,31.0,0.0,246.0,10.2,0.509,0.667,0.222,72.0,4.4,11.1,7.9,2.1,1.4,0.4,4.8,16.9,0.3,0.3,0.5,0.086,-0.7,0.9,0.3,Unknown,cade-tyson-1,4
2024-25,North Carolina,ACC,JR,F,37.0,20.0,19.6,3.6,5.3,0.684,0.0,0.1,0.0,3.6,5.2,0.694,0.684,1.5,2.1,0.711,1.9,3.6,5.5,0.3,0.4,0.9,0.8,2.1,8.7,Unknown,ACC,JR,F,37.0,20.0,724.0,23.1,0.694,0.015,0.388,296.0,11.4,20.2,16.0,2.9,1.1,5.0,11.4,18.0,2.3,1.1,3.4,0.19,4.7,2.9,7.7,Unknown,ven-allen-lubin-1,3
2024-25,Montana State,Big Sky,JR,F,29.0,29.0,21.2,5.6,10.6,0.528,0.6,1.5,0.386,5.0,9.1,0.551,0.555,2.9,5.4,0.545,0.8,4.0,4.9,1.6,0.6,0.2,1.4,1.9,14.7,Unknown,Big Sky,JR,F,29.0,29.0,615.0,25.8,0.559,0.143,0.508,386.0,4.9,22.2,13.8,20.4,1.6,1.0,9.9,37.5,1.4,0.9,2.4,0.155,4.2,-0.8,3.4,Unknown,brandon-walker-2,2
