Season,Team,Conf_x,Class_x,Pos_x,G_x,GS_x,MP_x,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards_x,Conf_y,Class_y,Pos_y,G_y,GS_y,MP_y,PER,TS%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,Awards_y,player_id,previous_school
2022-23,Middle Tennessee,CUSA,SO,F,31.0,0.0,11.5,1.6,3.1,0.526,0.1,0.1,0.5,1.6,3.0,0.527,0.536,0.4,0.6,0.667,0.8,1.7,2.5,0.4,0.2,0.2,1.1,1.7,3.7,Unknown,CUSA,SO,F,31.0,0.0,357.0,12.1,0.55,0.041,0.186,115.0,8.4,18.5,13.3,7.3,1.2,2.2,23.8,19.9,0.2,0.5,0.7,0.074,-4.1,-0.1,-4.1,Unknown,jared-coleman-jones-1,Middle Tennessee
2023-24,Middle Tennessee,CUSA,JR,F,33.0,33.0,28.1,3.8,8.5,0.452,0.6,1.3,0.442,3.3,7.2,0.454,0.486,2.8,3.6,0.771,1.8,5.8,7.6,2.3,0.6,1.1,3.2,2.5,11.0,Unknown,CUSA,JR,F,33.0,33.0,927.0,16.6,0.54,0.153,0.42,378.0,7.2,24.1,15.6,19.5,1.3,3.7,23.6,24.6,0.5,1.6,2.1,0.091,-1.0,1.0,0.0,Unknown,jared-coleman-jones-1,Middle Tennessee
2024-25,San Diego State,MWC,SR,F,29.0,28.0,25.5,2.7,6.2,0.441,0.6,1.8,0.34,2.1,4.3,0.484,0.492,1.2,2.0,0.593,1.4,3.7,5.0,1.0,0.6,0.7,1.1,2.1,7.3,Unknown,MWC,SR,F,29.0,28.0,740.0,12.6,0.51,0.296,0.33,212.0,6.4,15.9,11.3,7.7,1.5,3.5,13.7,16.9,0.6,1.5,2.0,0.11,0.5,2.6,3.0,Unknown,jared-coleman-jones-1,Middle Tennessee
2020-21,Charlotte,CUSA,FR,F,21.0,0.0,9.7,1.2,3.0,0.406,0.4,1.2,0.32,0.9,1.9,0.462,0.469,0.6,0.9,0.684,0.7,1.9,2.6,0.3,0.1,0.3,0.8,1.4,3.5,Unknown,CUSA,FR,F,21.0,0.0,203.0,13.9,0.5,0.391,0.297,73.0,9.8,24.6,17.3,7.3,0.9,4.2,18.0,24.6,0.1,0.3,0.4,0.076,-3.0,-0.5,-3.5,Unknown,jared-garcia-1,
2021-22,Charlotte,CUSA,SO,F,19.0,0.0,7.4,0.9,2.2,0.439,0.1,0.4,0.286,0.8,1.8,0.471,0.463,0.3,0.5,0.667,0.3,0.9,1.2,0.6,0.0,0.2,0.6,1.1,2.3,Unknown,CUSA,SO,F,19.0,0.0,140.0,9.2,0.486,0.171,0.22,47.0,5.5,15.0,10.3,15.7,0.0,3.2,21.0,22.3,0.0,0.1,0.1,0.021,-5.1,-1.9,-7.0,Unknown,jared-garcia-1,Charlotte
2023-24,Tulsa,AAC,JR,F,31.0,31.0,22.6,3.3,7.8,0.42,1.2,3.8,0.325,2.1,4.1,0.508,0.498,1.6,2.0,0.778,1.5,4.5,6.0,0.9,0.5,1.4,1.5,2.4,9.4,Unknown,AAC,JR,F,31.0,31.0,702.0,16.7,0.533,0.481,0.259,283.0,7.7,21.2,14.8,8.1,1.1,6.5,15.0,22.8,0.7,1.2,1.9,0.11,-0.3,0.1,-0.1,Unknown,jared-garcia-1,Charlotte
2024-25,Tulsa,AAC,SR,F,17.0,0.0,17.3,3.5,7.6,0.465,0.8,2.8,0.292,2.7,4.8,0.568,0.519,1.8,2.8,0.638,0.8,3.4,4.2,0.9,0.2,0.7,1.2,2.0,9.6,Unknown,AAC,SR,F,17.0,0.0,294.0,19.8,0.542,0.372,0.364,146.0,5.4,21.2,13.5,12.3,0.8,4.2,11.7,30.1,0.4,0.4,0.8,0.111,1.1,-0.2,0.9,Unknown,jared-garcia-1,Tulsa
2021-22,Dartmouth,Ivy,SO,G,4.0,0.0,5.3,0.5,2.3,0.222,0.3,1.5,0.167,0.3,0.8,0.333,0.278,0.0,0.5,0.0,0.5,1.0,1.5,0.3,0.0,0.0,0.3,0.8,1.3,Unknown,Ivy,SO,G,4.0,0.0,21.0,-0.5,0.251,0.667,0.222,6.0,11.0,23.1,16.9,9.5,0.0,0.0,9.1,27.7,-0.1,0.0,0.0,-0.092,-13.8,-8.1,-22.0,Unknown,jaren-johnson-1,
2022-23,Dartmouth,Ivy,JR,G,26.0,8.0,18.9,1.4,3.4,0.404,0.4,1.3,0.324,1.0,2.1,0.455,0.466,1.3,1.4,0.917,0.1,2.0,2.0,0.8,0.5,0.1,0.9,1.5,4.5,Unknown,Ivy,JR,G,26.0,8.0,491.0,8.3,0.547,0.382,0.404,111.0,0.5,11.9,6.2,7.3,1.4,0.6,17.8,13.2,0.3,0.6,0.9,0.069,-4.7,-0.3,-4.9,Unknown,jaren-johnson-1,Dartmouth
2023-24,Dartmouth,Ivy,SR,G,26.0,22.0,27.9,2.4,6.2,0.385,0.4,2.0,0.189,2.0,4.2,0.481,0.416,2.2,2.8,0.792,0.4,4.6,5.0,2.5,0.8,0.6,1.3,1.5,7.3,Unknown,Ivy,SR,G,26.0,22.0,726.0,12.7,0.489,0.329,0.447,205.0,1.8,19.4,10.6,19.3,1.7,2.4,15.2,17.2,0.4,0.8,1.2,0.065,-3.1,0.4,-2.6,Unknown,jaren-johnson-1,Dartmouth
